title,text,label
Anonymous Insider Reveals Moon Is Actually a Hologram,"Sources close to the matter, who could not be officially identified, allege that the information has been deliberately hidden from the public, though no documentation has been provided to confirm this.",FAKE
Miracle Pill Melts Fat Overnight Without Diet or Exercise,"The story cites an unnamed insider and provides no verifiable documentation, yet it has been widely shared online as if it were confirmed fact by multiple unrelated accounts.",FAKE
Celebrity Secretly Cloned Themselves to Attend More Events,"Sources close to the matter, who could not be officially identified, allege that the information has been deliberately hidden from the public, though no documentation has been provided to confirm this.",FAKE
National Team Wins Regional Sports Championship,"The project was funded through a combination of public and private resources, according to a spokesperson. Construction is expected to be completed within the projected timeline.",REAL
Local Business Association Hosts Annual Trade Fair,Local residents were invited to attend public forums to discuss the proposal before it was finalized. Officials said community feedback played an important role in shaping the final plan.,REAL
Museum Unveils Restored Historical Artifact Collection,"Analysts attributed the change to a combination of factors, including seasonal trends and recent policy adjustments. The organization said it will continue monitoring the situation closely.",REAL
"Secret Ingredient in Soda Makes People Forget Memories, Study Claims","The claim originated from an unverified blog post and has since been shared thousands of times, despite fact-checkers and experts repeatedly stating that there is no credible evidence to support it.",FAKE
State Announces Funding for Rural Road Repairs,"Officials said the decision follows months of review and public consultation. The measure is expected to take effect in the coming weeks, with further updates to be announced through official channels.",REAL
Meteorologists Predict Above Average Rainfall This Season,"According to the report, the data was collected over several months and reviewed by independent analysts before publication. Authorities noted that additional findings will be released as the study continues.",REAL
National Health Department Reports Decline in Flu Cases,"Analysts attributed the change to a combination of factors, including seasonal trends and recent policy adjustments. The organization said it will continue monitoring the situation closely.",REAL
Shocking Video Shows Politician Disappearing Into Thin Air,"Sources close to the matter, who could not be officially identified, allege that the information has been deliberately hidden from the public, though no documentation has been provided to confirm this.",FAKE
Billionaire Secretly Controls Weather Using Hidden Satellites,"Sources close to the matter, who could not be officially identified, allege that the information has been deliberately hidden from the public, though no documentation has been provided to confirm this.",FAKE
Secret Basement Under Airport Hides Advanced Alien Technology,"No official statement has been released confirming this claim, and multiple independent fact-checking organizations have labeled similar stories as misleading or entirely fabricated.",FAKE
National Bank Publishes Economic Growth Forecast,Experts reviewed the findings and confirmed the methodology used was consistent with established scientific standards. The full report is expected to be published in an upcoming journal issue.,REAL
"Moon Landing Was Filmed in Basement, New Evidence Surfaces","Although no scientific evidence supports the claim, the story has gone viral online, with many users sharing it without verifying the original source or checking official records.",FAKE
"Government Hiding Free Energy Device From Public, Whistleblower Claims","Sources close to the matter, who could not be officially identified, allege that the information has been deliberately hidden from the public, though no documentation has been provided to confirm this.",FAKE
"Ancient Prophecy Predicts End of World Next Month, Experts Warn","Although no scientific evidence supports the claim, the story has gone viral online, with many users sharing it without verifying the original source or checking official records.",FAKE
Viral Post Claims Drinking Bleach Cures Common Cold Fast,"No official statement has been released confirming this claim, and multiple independent fact-checking organizations have labeled similar stories as misleading or entirely fabricated.",FAKE
"Miracle Herb Grows Back Hair in Just Two Days, Users Report","The claim originated from an unverified blog post and has since been shared thousands of times, despite fact-checkers and experts repeatedly stating that there is no credible evidence to support it.",FAKE
"Government Admits Weather Control Machine Exists, Says Anonymous Tip","The article relies heavily on speculation and unverified screenshots, with no credible institution or expert cited to support the extraordinary claims being made.",FAKE
"Celebrity Announces They Are Actually a Reptilian, Sources Say","According to anonymous sources who wish to remain unnamed, the shocking claim has spread rapidly across social media despite no official confirmation from any credible authority or institution.",FAKE
Central Bureau Publishes Annual Census Data,"The announcement was made during a press briefing attended by department representatives. Officials emphasized that the plan will be implemented gradually, with regular progress updates provided to the public.",REAL
Government Plans to Replace All Currency With Chips by Next Year,"The story cites an unnamed insider and provides no verifiable documentation, yet it has been widely shared online as if it were confirmed fact by multiple unrelated accounts.",FAKE
Regional Airline Adds New International Route,"The project was funded through a combination of public and private resources, according to a spokesperson. Construction is expected to be completed within the projected timeline.",REAL
"World Leaders Secretly Meet With Extraterrestrials, Leaked Photo Shows","Sources close to the matter, who could not be officially identified, allege that the information has been deliberately hidden from the public, though no documentation has been provided to confirm this.",FAKE
"New App Can Read Your Mind, Tech Insiders Claim Secretly","The story cites an unnamed insider and provides no verifiable documentation, yet it has been widely shared online as if it were confirmed fact by multiple unrelated accounts.",FAKE
Central Bank Raises Interest Rates by 0.25 Percent,"According to the report, the data was collected over several months and reviewed by independent analysts before publication. Authorities noted that additional findings will be released as the study continues.",REAL
Public Health Officials Launch Awareness Campaign,"Officials said the decision follows months of review and public consultation. The measure is expected to take effect in the coming weeks, with further updates to be announced through official channels.",REAL
Farmers Report Improved Yields After Irrigation Upgrade,Local residents were invited to attend public forums to discuss the proposal before it was finalized. Officials said community feedback played an important role in shaping the final plan.,REAL
Hidden Message in Currency Reveals Secret World Government,"No official statement has been released confirming this claim, and multiple independent fact-checking organizations have labeled similar stories as misleading or entirely fabricated.",FAKE
Environmental Agency Monitors River Water Quality,"According to the report, the data was collected over several months and reviewed by independent analysts before publication. Authorities noted that additional findings will be released as the study continues.",REAL
"Mysterious Signal From Space Decoded as Secret Warning, Claims Blog","Although no scientific evidence supports the claim, the story has gone viral online, with many users sharing it without verifying the original source or checking official records.",FAKE
"Secret Society Controls Global Food Supply, Documents Allegedly Show","The article relies heavily on speculation and unverified screenshots, with no credible institution or expert cited to support the extraordinary claims being made.",FAKE
Court Rules on Long-Running Property Dispute Case,"The project was funded through a combination of public and private resources, according to a spokesperson. Construction is expected to be completed within the projected timeline.",REAL
Stock Market Closes Higher After Strong Earnings Reports,"Analysts attributed the change to a combination of factors, including seasonal trends and recent policy adjustments. The organization said it will continue monitoring the situation closely.",REAL
Company Reports Successful Product Safety Audit,Local residents were invited to attend public forums to discuss the proposal before it was finalized. Officials said community feedback played an important role in shaping the final plan.,REAL
City Transit Authority Adds New Bus Routes,Experts reviewed the findings and confirmed the methodology used was consistent with established scientific standards. The full report is expected to be published in an upcoming journal issue.,REAL
"Miracle Water Reverses Aging Overnight, Scientists Silenced","Although no scientific evidence supports the claim, the story has gone viral online, with many users sharing it without verifying the original source or checking official records.",FAKE
"Local Man Discovers Time Travel in His Garage, Refuses to Share Details","No official statement has been released confirming this claim, and multiple independent fact-checking organizations have labeled similar stories as misleading or entirely fabricated.",FAKE
Local Hospital Opens New Pediatric Wing,"Officials said the decision follows months of review and public consultation. The measure is expected to take effect in the coming weeks, with further updates to be announced through official channels.",REAL
"Secret Government Lab Creates Mind Control Chip, Insiders Claim","Despite lacking any peer-reviewed research or verified data, the sensational claim continues to circulate widely, fueled by dramatic headlines and emotionally charged social media posts.",FAKE
Parliament Debates New Education Reform Bill,"Officials said the decision follows months of review and public consultation. The measure is expected to take effect in the coming weeks, with further updates to be announced through official channels.",REAL
Government Releases Quarterly Employment Statistics,"According to the report, the data was collected over several months and reviewed by independent analysts before publication. Authorities noted that additional findings will be released as the study continues.",REAL
Hidden Camera Footage Shows Politician Is Actually a Robot,"The story cites an unnamed insider and provides no verifiable documentation, yet it has been widely shared online as if it were confirmed fact by multiple unrelated accounts.",FAKE
University Receives Grant for Climate Research Program,"According to the report, the data was collected over several months and reviewed by independent analysts before publication. Authorities noted that additional findings will be released as the study continues.",REAL
Weather Service Issues Advisory for Coastal Regions,"According to the report, the data was collected over several months and reviewed by independent analysts before publication. Authorities noted that additional findings will be released as the study continues.",REAL
"Bank Accounts Will Be Frozen Nationwide Tomorrow, Rumor Spreads Online","The article relies heavily on speculation and unverified screenshots, with no credible institution or expert cited to support the extraordinary claims being made.",FAKE
New Study Claims 5G Towers Control Human Emotions Directly,"Despite lacking any peer-reviewed research or verified data, the sensational claim continues to circulate widely, fueled by dramatic headlines and emotionally charged social media posts.",FAKE
"Miracle Device Charges Phone Using Thoughts Alone, Company Claims","The story cites an unnamed insider and provides no verifiable documentation, yet it has been widely shared online as if it were confirmed fact by multiple unrelated accounts.",FAKE
Agricultural Department Reports Stable Crop Prices,"According to the report, the data was collected over several months and reviewed by independent analysts before publication. Authorities noted that additional findings will be released as the study continues.",REAL
"Vaccine Contains Tracking Microchips, Anonymous Source Reveals","Despite lacking any peer-reviewed research or verified data, the sensational claim continues to circulate widely, fueled by dramatic headlines and emotionally charged social media posts.",FAKE
"Shocking Study Proves Earth Is Actually Flat, Mainstream Media Silent","Despite lacking any peer-reviewed research or verified data, the sensational claim continues to circulate widely, fueled by dramatic headlines and emotionally charged social media posts.",FAKE
"Government Bans Sunlight in Three Cities, Officials Deny Rumors","The claim originated from an unverified blog post and has since been shared thousands of times, despite fact-checkers and experts repeatedly stating that there is no credible evidence to support it.",FAKE
Secret Recipe Passed Down for Centuries Cures All Ailments Instantly,"Sources close to the matter, who could not be officially identified, allege that the information has been deliberately hidden from the public, though no documentation has been provided to confirm this.",FAKE
Scientists Discover Fountain of Youth Hidden in Remote Village,"According to anonymous sources who wish to remain unnamed, the shocking claim has spread rapidly across social media despite no official confirmation from any credible authority or institution.",FAKE
"Secret Formula Lets Anyone Fly Without Any Equipment, Claims Blogger","The story cites an unnamed insider and provides no verifiable documentation, yet it has been widely shared online as if it were confirmed fact by multiple unrelated accounts.",FAKE
University Study Links Sleep Patterns to Productivity,"According to the report, the data was collected over several months and reviewed by independent analysts before publication. Authorities noted that additional findings will be released as the study continues.",REAL
City Council Passes Ordinance on Waste Recycling,"Analysts attributed the change to a combination of factors, including seasonal trends and recent policy adjustments. The organization said it will continue monitoring the situation closely.",REAL
City Firefighters Complete Advanced Rescue Training,Experts reviewed the findings and confirmed the methodology used was consistent with established scientific standards. The full report is expected to be published in an upcoming journal issue.,REAL
Tech Company Reports Quarterly Revenue Growth,The agency confirmed the figures were verified through standard auditing procedures. A detailed breakdown of the data will be made available on the official website.,REAL
"Scientists Confirm Chocolate Cures All Diseases, Big Pharma Furious","Despite lacking any peer-reviewed research or verified data, the sensational claim continues to circulate widely, fueled by dramatic headlines and emotionally charged social media posts.",FAKE
